"Context Fraction","Method Name","Scenario Name","Partial Percentage","mR@10","mR@20","mR@50","mR@100","mR@10","mR@20","mR@50","mR@100","mR@10","mR@20","mR@50","mR@100","mR@10","mR@20","mR@50","mR@100","mR@10","mR@20","mR@50","mR@100","mR@10","mR@20","mR@50","mR@100","mR@10","mR@20","mR@50","mR@100","mR@10","mR@20","mR@50","mR@100","mR@10","mR@20","mR@50","mR@100"
"0.3","sttran_ant","full","-",6.12,12.18,13.54,13.55,11.95,17.37,33.54,48.44,5.71,7.92,7.98,7.98,10.62,11.54,11.54,11.54,15.68,25.69,47.44,52.05,4.8,4.84,4.84,4.84,13.89,16.24,16.27,16.27,19.16,31.24,57.35,69.41,6.91,7.03,7.03,7.03
"0.3","sttran_ant","partial","10",8.31,15.29,16.65,16.65,11.2,18.25,33.81,49.16,3.08,3.09,3.09,3.09,12.11,12.94,12.94,12.94,15.95,26.01,46.79,51.87,2.89,2.89,2.89,2.89,14.88,16.95,16.96,16.96,20.6,33.48,57.55,70.76,3.18,3.18,3.18,3.18
"0.3","dsgdetr_ant","full","-",6.94,13.1,14.27,14.27,12.72,19.09,35.22,48.06,5.18,6.07,6.1,6.1,11.51,12.56,12.56,12.56,17.89,28.15,48.79,53.97,5.16,5.2,5.2,5.2,14.78,17.1,17.12,17.12,21.43,32.86,55.79,68.26,6.17,6.23,6.23,6.23
"0.3","dsgdetr_ant","partial","10",6.8,11.78,12.52,12.52,7.75,14.64,29.68,46.06,2.72,2.73,2.73,2.73,14.94,15.85,15.85,15.85,20.55,29.81,49.8,53.7,2.84,2.84,2.84,2.84,18.59,21.88,21.9,21.9,19.87,34.17,60.1,70.9,3.9,3.9,3.9,3.9
"0.3","sttran_gen_ant","full","-",7.57,15.27,16.94,16.94,13.09,20.25,36.19,49.89,4.98,6.4,6.44,6.44,12.58,13.55,13.55,13.55,18.53,28.73,48.78,52.5,5.29,5.32,5.32,5.32,15.91,18.53,18.56,18.56,23.14,35.5,59.16,70.59,8.89,9.38,9.38,9.38
"0.3","sttran_gen_ant","partial","10",8.86,17.9,19.71,19.71,11.1,18.48,36.53,51.08,3.6,3.65,3.65,3.65,17.63,18.85,18.85,18.85,21.23,31.54,49.23,52.44,3.61,3.61,3.61,3.61,17.78,20.39,20.41,20.41,21.71,35.68,59.87,70.57,3.72,3.72,3.72,3.72
"0.3","dsgdetr_gen_ant","full","-",7.11,12.81,13.82,13.82,11.46,17.83,34.09,49.08,4.87,5.69,5.71,5.71,13.0,13.99,13.99,13.99,17.89,28.63,49.22,53.75,4.24,4.27,4.27,4.27,15.08,17.51,17.53,17.53,21.18,34.34,57.37,70.08,6.21,6.29,6.29,6.29
"0.3","dsgdetr_gen_ant","partial","10",9.29,18.4,20.17,20.17,12.8,21.83,37.47,49.66,3.08,3.12,3.12,3.12,16.44,17.81,17.81,17.81,21.0,31.6,50.77,53.54,3.32,3.32,3.32,3.32,17.06,19.67,19.69,19.69,20.14,33.55,58.37,70.76,3.91,3.91,3.91,3.91
"0.3","ode","full","-",5.53,11.93,18.98,19.01,12.59,19.26,32.69,44.33,4.68,7.88,9.93,14.01,9.43,10.53,10.54,10.54,14.26,23.3,44.57,53.46,2.73,2.77,2.77,2.77,15.18,17.93,17.98,17.98,22.17,34.5,56.73,68.16,9.69,11.15,11.35,11.35
"0.3","ode","partial","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.3","sde","full","-",5.88,13.38,17.22,17.25,14.29,22.02,36.44,46.77,4.31,6.08,6.36,6.36,13.53,15.21,15.22,15.22,20.55,31.18,49.82,54.96,6.4,6.52,6.52,6.52,16.05,19.24,19.29,19.29,23.14,35.69,57.74,68.59,8.78,9.2,9.2,9.2
"0.3","sde","partial","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.5","sttran_ant","full","-",6.49,13.22,14.72,14.72,12.55,18.33,36.12,51.25,5.96,8.34,8.4,8.4,12.39,13.54,13.54,13.54,17.92,29.35,49.46,52.61,5.16,5.2,5.2,5.2,15.92,18.88,18.9,18.9,22.62,36.22,62.28,75.14,7.6,7.72,7.72,7.72
"0.5","sttran_ant","partial","10",8.89,16.32,17.98,17.98,11.81,19.53,35.8,52.21,3.26,3.28,3.28,3.28,14.3,15.24,15.24,15.24,18.26,29.09,48.19,53.14,3.47,3.47,3.47,3.47,16.34,18.58,18.59,18.59,21.87,35.8,61.89,75.22,3.54,3.54,3.54,3.54
"0.5","dsgdetr_ant","full","-",7.25,14.02,15.38,15.38,13.66,20.51,38.14,51.13,5.46,6.61,6.62,6.62,13.36,14.78,14.78,14.78,20.25,32.27,50.93,56.87,6.42,6.45,6.45,6.45,16.91,19.56,19.58,19.58,23.75,36.68,60.52,72.98,7.12,7.16,7.16,7.16
"0.5","dsgdetr_ant","partial","10",7.25,12.69,13.41,13.41,8.23,15.6,32.89,52.85,2.85,2.87,2.87,2.87,17.29,18.64,18.64,18.64,22.63,33.68,50.73,55.78,3.16,3.16,3.16,3.16,20.81,24.25,24.27,24.27,21.5,36.57,63.76,75.42,4.41,4.41,4.41,4.41
"0.5","sttran_gen_ant","full","-",7.91,16.39,18.37,18.37,13.92,21.33,38.47,52.53,5.1,6.59,6.62,6.62,14.28,15.76,15.76,15.76,20.94,32.55,50.11,53.16,5.56,5.6,5.6,5.6,17.83,20.94,20.96,20.96,25.23,39.38,63.52,75.3,9.16,9.61,9.61,9.61
"0.5","sttran_gen_ant","partial","10",9.31,18.68,20.86,20.86,12.06,19.97,39.57,54.32,3.92,3.97,3.97,3.97,20.19,21.98,21.98,21.98,24.04,34.88,50.5,52.72,4.1,4.1,4.1,4.1,19.87,22.73,22.75,22.75,23.7,39.25,64.08,74.99,4.26,4.26,4.26,4.26
"0.5","dsgdetr_gen_ant","full","-",7.43,13.41,14.61,14.61,11.83,18.2,36.06,52.73,4.95,5.72,5.73,5.73,15.03,16.32,16.32,16.32,19.9,32.33,50.63,55.8,4.52,4.55,4.55,4.55,17.11,19.99,20.02,20.02,23.22,37.28,62.87,74.86,6.05,6.12,6.12,6.12
"0.5","dsgdetr_gen_ant","partial","10",9.76,19.81,21.88,21.88,13.52,22.95,40.72,52.61,3.31,3.33,3.33,3.33,18.62,20.09,20.09,20.09,22.55,35.2,52.49,56.67,3.71,3.71,3.71,3.71,21.1,24.47,24.49,24.49,23.28,38.44,63.25,75.16,4.55,4.55,4.55,4.55
"0.5","ode","full","-",5.84,12.62,16.93,16.94,14.02,22.27,36.53,49.05,4.69,7.76,9.88,10.48,11.15,12.78,12.79,12.79,16.92,26.34,45.71,54.03,3.21,3.21,3.21,3.21,17.49,20.74,20.86,20.86,24.89,37.98,61.83,74.31,9.72,10.63,10.74,10.74
"0.5","ode","partial","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.5","sde","full","-",6.36,13.69,18.26,18.28,15.39,23.7,38.74,50.83,4.57,6.88,7.17,7.17,15.2,17.47,17.47,17.47,22.85,34.28,51.0,56.19,6.99,7.08,7.08,7.08,18.18,21.66,21.84,21.84,24.98,38.98,62.73,73.68,9.34,9.66,9.66,9.66
"0.5","sde","partial","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.7","sttran_ant","full","-",7.39,14.72,16.41,16.41,13.79,20.42,39.71,56.2,6.66,9.29,9.34,9.34,15.57,16.82,16.82,16.82,23.49,36.35,55.4,59.0,6.34,6.38,6.38,6.38,18.75,21.57,21.58,21.58,27.6,43.65,73.15,85.96,8.6,8.71,8.71,8.71
"0.7","sttran_ant","partial","10",10.04,18.33,20.01,20.01,13.42,21.55,39.56,57.17,3.64,3.65,3.65,3.65,17.13,18.13,18.13,18.13,22.75,35.11,54.69,58.82,3.93,3.93,3.93,3.93,19.69,22.02,22.02,22.02,26.85,43.79,73.15,86.09,4.02,4.02,4.02,4.02
"0.7","dsgdetr_ant","full","-",8.31,15.75,17.14,17.14,15.13,22.87,41.0,55.76,6.06,7.27,7.27,7.27,15.31,16.64,16.64,16.64,24.24,38.04,56.69,61.7,7.38,7.41,7.41,7.41,20.17,22.78,22.79,22.79,29.03,44.69,71.64,83.29,8.22,8.26,8.26,8.26
"0.7","dsgdetr_ant","partial","10",8.11,13.71,14.73,14.73,9.31,17.32,35.72,54.36,3.04,3.05,3.05,3.05,20.66,22.09,22.09,22.09,27.72,40.8,57.88,62.85,3.82,3.82,3.82,3.82,25.2,28.83,28.84,28.84,26.99,44.61,75.03,86.26,5.03,5.03,5.03,5.03
"0.7","sttran_gen_ant","full","-",9.14,18.19,20.22,20.22,15.66,23.7,41.94,57.48,5.8,7.27,7.29,7.29,17.18,18.56,18.56,18.56,25.27,38.32,56.07,58.42,6.25,6.27,6.27,6.27,21.86,25.02,25.03,25.03,31.23,46.98,75.39,86.01,10.55,10.99,10.99,10.99
"0.7","sttran_gen_ant","partial","10",10.91,21.91,24.13,24.13,14.03,23.23,43.7,59.61,4.35,4.39,4.39,4.39,25.59,27.4,27.4,27.4,29.8,43.9,57.56,59.38,5.03,5.03,5.03,5.03,25.78,29.05,29.06,29.06,31.12,49.16,76.53,86.24,5.0,5.0,5.0,5.0
"0.7","dsgdetr_gen_ant","full","-",8.43,14.78,16.0,16.0,13.16,20.03,38.77,56.5,5.61,6.34,6.35,6.35,18.08,19.39,19.39,19.39,24.83,39.46,57.27,61.09,5.41,5.43,5.43,5.43,20.8,23.77,23.78,23.78,28.62,46.12,73.82,85.8,6.91,7.0,7.0,7.0
"0.7","dsgdetr_gen_ant","partial","10",11.5,23.06,25.23,25.23,15.93,26.7,45.28,57.94,3.5,3.51,3.51,3.51,23.65,25.47,25.47,25.47,28.08,42.24,58.48,61.81,4.28,4.28,4.28,4.28,28.34,32.5,32.51,32.51,31.35,49.73,75.69,86.11,5.49,5.49,5.49,5.49
"0.7","ode","full","-",6.67,13.96,18.47,18.48,16.43,24.88,40.45,52.99,5.14,7.4,8.47,8.52,13.63,15.14,15.14,15.14,20.48,32.39,52.8,60.09,3.74,3.74,3.74,3.74,20.7,23.99,24.0,24.0,29.77,45.2,71.98,84.24,10.11,10.57,10.63,10.63
"0.7","ode","partial","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.7","sde","full","-",7.13,14.63,19.27,19.28,17.33,26.11,42.45,54.05,5.17,7.26,7.52,7.52,17.87,19.91,19.91,19.91,27.03,40.23,57.16,61.69,7.96,8.05,8.05,8.05,21.0,24.58,24.59,24.59,30.19,45.42,72.77,84.04,10.47,10.72,10.72,10.72
"0.7","sde","partial","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.9","sttran_ant","full","-",8.12,16.71,18.74,18.74,15.14,23.47,42.94,61.71,7.05,10.22,10.32,10.32,18.38,19.57,19.57,19.57,30.01,44.05,60.01,62.61,7.66,7.77,7.77,7.77,22.9,25.02,25.02,25.02,36.12,54.91,81.8,94.82,9.91,10.05,10.05,10.05
"0.9","sttran_ant","partial","10",11.53,22.13,24.53,24.53,16.64,25.51,44.7,63.79,4.08,4.1,4.1,4.1,21.5,22.43,22.43,22.43,29.81,43.77,61.52,63.29,5.18,5.18,5.18,5.18,25.23,27.22,27.22,27.22,35.89,55.37,83.23,94.82,4.61,4.61,4.61,4.61
"0.9","dsgdetr_ant","full","-",9.12,18.06,19.65,19.65,17.39,26.24,45.19,61.27,6.54,8.01,8.02,8.02,18.26,19.45,19.45,19.45,30.92,45.43,63.31,67.98,8.41,8.48,8.48,8.48,23.99,26.04,26.04,26.04,36.83,54.68,80.28,94.89,9.59,9.63,9.63,9.63
"0.9","dsgdetr_ant","partial","10",9.73,16.86,18.0,18.0,11.31,20.66,40.89,60.69,3.49,3.5,3.5,3.5,24.45,25.83,25.83,25.83,34.95,47.76,65.01,68.08,4.6,4.6,4.6,4.6,31.79,34.98,34.98,34.98,37.26,56.12,90.69,94.83,5.71,5.71,5.71,5.71
"0.9","sttran_gen_ant","full","-",9.83,20.91,23.47,23.47,18.23,27.46,47.22,62.77,7.09,9.37,9.39,9.39,21.23,22.46,22.46,22.46,32.43,46.89,60.6,62.65,7.85,7.89,7.89,7.89,28.77,31.26,31.26,31.26,42.47,60.78,84.82,94.89,14.15,14.68,14.68,14.68
"0.9","sttran_gen_ant","partial","10",12.55,27.05,29.91,29.91,18.77,30.4,51.4,64.81,5.39,5.46,5.46,5.46,32.56,34.24,34.24,34.24,40.94,52.08,63.81,64.62,7.48,7.48,7.48,7.48,36.7,40.27,40.3,40.3,46.31,64.44,91.43,94.94,6.99,6.99,6.99,6.99
"0.9","dsgdetr_gen_ant","full","-",9.51,17.68,19.22,19.22,15.5,23.75,44.87,61.71,6.9,8.08,8.08,8.08,22.22,23.44,23.44,23.44,33.01,49.02,64.19,68.25,7.51,7.54,7.54,7.54,26.98,29.44,29.44,29.44,38.99,58.75,83.16,94.94,8.79,8.98,8.98,8.98
"0.9","dsgdetr_gen_ant","partial","10",13.64,27.76,30.21,30.21,21.24,32.08,51.19,61.68,4.38,4.39,4.39,4.39,30.85,32.2,32.2,32.2,38.3,52.61,67.31,69.19,6.14,6.14,6.14,6.14,38.73,42.81,42.81,42.81,46.88,65.73,91.05,94.85,7.03,7.03,7.03,7.03
"0.9","ode","full","-",7.05,15.59,20.97,20.99,18.94,28.57,45.18,58.35,5.13,6.87,7.17,7.17,16.57,17.93,17.94,17.94,27.38,41.7,61.11,69.29,4.4,4.4,4.4,4.4,25.15,27.65,27.65,27.65,37.21,54.33,81.49,94.7,10.48,10.6,10.6,10.6
"0.9","ode","partial","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.9","sde","full","-",7.38,15.97,21.1,21.13,19.05,29.01,45.65,59.35,5.79,8.19,8.58,8.58,21.01,22.64,22.65,22.65,33.18,48.19,64.28,69.46,8.94,9.09,9.09,9.09,24.67,27.28,27.28,27.28,37.31,54.01,80.5,94.73,11.28,11.48,11.48,11.48
"0.9","sde","partial","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
